country,city,count,locations,firstUpdated,lastUpdated,parameters
US,COOS,60240447,2,2018-12-15T21:00:00+00:00,2021-02-01T12:00:00+00:00,['pm25']
US,Corning,26870250,1,2016-03-22T10:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Corpus Christi,87995333,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Corsicana,58593655,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Corvallis,30155574,1,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,COTTON,5709,1,2016-03-06T19:00:00+00:00,2016-12-06T18:00:00+00:00,['o3']
US,CURRY,2370,1,2020-07-30T22:00:00+00:00,2020-12-11T12:00:00+00:00,['pm25']
US,CUSTER,88350197,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,CUYAHOGA,59450468,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['so2']
US,DAKOTA,89025757,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'pm25']"
US,Dallas,414,1,2014-12-11T00:00:00+00:00,2016-02-05T00:00:00+00:00,['ch4']
US,Dallas-Fort Worth-Arlington,578320730,19,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Dalton,22376,1,2016-03-06T19:00:00+00:00,2020-10-27T01:00:00+00:00,['o3']
US,Daphne-Fairhope,15578,1,2016-03-06T19:00:00+00:00,2020-11-02T11:00:00+00:00,['o3']
US,Davenport-Moline-Rock Island,173299636,4,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Dayton,145470281,7,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm25', 'so2']"
US,Decatur,58090734,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,DE KALB,24720089,1,2016-03-13T08:00:00+00:00,2021-02-01T03:00:00+00:00,['o3']
US,DEL NORTE,8941,1,2020-09-08T21:00:00+00:00,2021-01-13T22:00:00+00:00,['pm25']
US,DELTA,113758237,1,2018-09-11T14:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25']"
US,Deltona-Daytona Beach-Ormond Beach,51726039,2,2016-03-06T19:00:00+00:00,2021-02-01T03:00:00+00:00,"['o3', 'pm25']"
US,Deming,30294351,1,2017-01-13T16:00:00+00:00,2021-02-01T11:00:00+00:00,['pm10']
US,DENVER,74083045,2,2016-12-28T15:00:00+00:00,2021-02-01T10:00:00+00:00,"['no2', 'pm10', 'pm25']"
US,Denver-Aurora,714826134,12,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,DESCHUTES,89862139,3,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Des Moines,29963805,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Detroit-Warren-Livonia,598025458,11,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,DEWEY,86568352,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Dickinson,58827634,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,DODGE,144640713,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm10', 'pm25', 'so2']"
US,Dodge City,23933217,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['pm10']
US,DONA ANA,30031598,1,2017-11-28T08:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,DOOR,14912,1,2016-04-05T17:00:00+00:00,2020-10-16T13:00:00+00:00,['o3']
US,DORCHESTER,87175928,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm25', 'so2']"
US,DOUGLAS,29484228,3,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,Dover,60173337,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,DuBois,27747967,1,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,['o3']
US,DUCHESNE,138695676,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm25']"
US,DUKES,27146150,1,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,Duluth,111232306,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,DUNN,145506772,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
